saving,actual_price,diff,make,odometer,year,model,body_style,kbb_price,state,city,ext_color,int_color,car_url,drive_line,transmission,city_fuel_economy,engine,doors,vin,zipCode,driveTrain,classification,trim,uuid,account_id
0.0,27487,0,Ford,11110,2020,Edge,SUV,27487,NY,Massapequa Park,Iconic Silver,BLA,https://www.hertzcarsales.com/certified/Ford/2020-Ford-Edge-76a4e6250a0e0a1774ba5a3be5ebe766.htm,All-wheel Drive,Automatic,21,I-4 cyl,4,2FMPK4J96LBA44676,11762,All-wheel Drive,primary,SEL,76a4e6250a0e0a1774ba5a3be5ebe766,hertzcarsalesmassapequa
0.0,27987,0,CADILLAC,40395,2019,XT5,SUV,27987,NY,Massapequa Park,Radiant Silver,BLA,https://www.hertzcarsales.com/certified/CADILLAC/2019-CADILLAC-XT5-0d8f47630a0e0ae81c3047e9279f201d.htm,All-wheel Drive,Automatic,18,V-6 cyl,4,1GYKNFRS0KZ218241,11762,All-wheel Drive,primary,Premium Luxury,0d8f47630a0e0ae81c3047e9279f201d,hertzcarsalesmassapequa
0.0,32987,0,Mercedes-Benz,23434,2019,GLC 300,SUV,32987,NY,Massapequa Park,Black,UNK,https://www.hertzcarsales.com/certified/Mercedes-Benz/2019-Mercedes-Benz-GLC+300-95a93eb70a0e0a6b2311104f66bf2681.htm,All-wheel Drive,Automatic,22,I-4 cyl,4,WDC0G4KB9KV164428,11762,All-wheel Drive,primary,Base,95a93eb70a0e0a6b2311104f66bf2681,hertzcarsalesmassapequa
0.0,40587,0,GMC,36607,2019,Yukon XL,SUV,40587,NY,Massapequa Park,Satin Steel,BLA,https://www.hertzcarsales.com/certified/GMC/2019-GMC-Yukon+XL-fd697c6b0a0e0a17111a5ecb8ea39100.htm,4x4,Automatic,14,V-8 cyl,4,1GKS2GKC6KR171180,11762,4x4,primary,SLT,fd697c6b0a0e0a17111a5ecb8ea39100,hertzcarsalesmassapequa
0.0,13675,0,Kia,41199,2018,Sportage,SUV,13675,NY,Smithtown,Silver,Black,https://www.hertzcarsales.com/certified/Kia/2018-Kia-Sportage-a53cde940a0e0a1701a6410aa8188810.htm,Front-wheel Drive,Automatic,23,I-4 cyl,4,KNDPM3AC6J7445266,11787,Front-wheel Drive,primary,LX,a53cde940a0e0a1701a6410aa8188810,hertzcarsalessmithtown
0.0,13975,0,Mitsubishi,29710,2019,Outlander Sport,CUV,13975,NY,Smithtown,Labrador Black,Black,https://www.hertzcarsales.com/certified/Mitsubishi/2019-Mitsubishi-Outlander+Sport-763e26700a0e0a1774ba5a3bf2b6cf17.htm,Front-wheel Drive,Automatic,24,I-4 cyl,4,JA4AP3AU8KU023714,11787,Front-wheel Drive,primary,2.0 LE,763e26700a0e0a1774ba5a3bf2b6cf17,hertzcarsalessmithtown
0.0,13975,0,Mitsubishi,27236,2019,Outlander Sport,CUV,13975,NY,Smithtown,Mercury Gray,Black,https://www.hertzcarsales.com/certified/Mitsubishi/2019-Mitsubishi-Outlander+Sport-7b5027910a0e0ae7126286ae7e08812d.htm,Front-wheel Drive,Automatic,24,I-4 cyl,4,JA4AP3AU0KU019947,11787,Front-wheel Drive,primary,2.0 LE,7b5027910a0e0ae7126286ae7e08812d,hertzcarsalessmithtown
0.0,14375,0,Mitsubishi,25717,2019,Outlander Sport,CUV,14375,NY,Smithtown,Mercury Gray,Black,https://www.hertzcarsales.com/certified/Mitsubishi/2019-Mitsubishi-Outlander+Sport-763e1fa10a0e0a1774ba5a3b70c92659.htm,Front-wheel Drive,Automatic,24,I-4 cyl,4,JA4AP3AU2KU009081,11787,Front-wheel Drive,primary,2.0 LE,763e1fa10a0e0a1774ba5a3b70c92659,hertzcarsalessmithtown
0.0,14570,0,Chevrolet,43705,2018,Equinox,SUV,14570,NY,Smithtown,Cajun Red Tintcoat,BLA,https://www.hertzcarsales.com/certified/Chevrolet/2018-Chevrolet-Equinox-d395fd3e0a0e0adf1ea85fd3a2209c10.htm,Front-wheel Drive,Automatic,26,I-4 cyl,4,2GNAXJEV2J6273211,11787,Front-wheel Drive,primary,LT,d395fd3e0a0e0adf1ea85fd3a2209c10,hertzcarsalessmithtown
0.0,14775,0,Buick,43232,2016,Encore,SUV,14775,NY,Smithtown,Carbon Black,Gray,https://www.hertzcarsales.com/certified/Buick/2016-Buick-Encore-a80f055e0a0e0ae77f0ab89e65b4337b.htm,Front-wheel Drive,Automatic,28,I-4 cyl,4,KL4CJCSB3GB631666,11787,Front-wheel Drive,primary,Leather,a80f055e0a0e0ae77f0ab89e65b4337b,hertzcarsalessmithtown
